Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hasar,,,,25-03-2024 12:32:43,25-03-2024 12:32:48,4.972s,PASSED
,,,,,,,
Test Cases/Hasar Flow/auth_token_Admin,,,,25-03-2024 12:32:43,25-03-2024 12:32:47,3.443s,PASSED
"current_user = ""Hasar""",,,,25-03-2024 12:32:44,25-03-2024 12:32:44,0.262s,PASSED
"response = sendRequest(findTestObject(""Flow Admin/token"", [""url_base"":url_base, ""api_key"":api_key_hasar]))",,,,25-03-2024 12:32:44,25-03-2024 12:32:47,2.746s,PASSED
responseBody = response.getResponseText(),,,,25-03-2024 12:32:47,25-03-2024 12:32:47,0.015s,PASSED
print(responseBody),,,,25-03-2024 12:32:47,25-03-2024 12:32:47,0.004s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,25-03-2024 12:32:47,25-03-2024 12:32:47,0.012s,PASSED
jsonResponse = jsonSlurper.parseText(responseBody),,,,25-03-2024 12:32:47,25-03-2024 12:32:47,0.014s,PASSED
token = accessToken,,,,25-03-2024 12:32:47,25-03-2024 12:32:47,0.012s,PASSED
"println(""Response Body: "" + responseBody)",,,,25-03-2024 12:32:47,25-03-2024 12:32:47,0.005s,PASSED
,,,,,,,
Test Cases/Hasar Flow/Create Customer,,,,25-03-2024 12:32:47,25-03-2024 12:32:48,1.331s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 12:32:47,25-03-2024 12:32:47,0.009s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 12:32:47,25-03-2024 12:32:47,0.009s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 12:32:47,25-03-2024 12:32:47,0.038s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 12:32:47,25-03-2024 12:32:47,0.001s,PASSED
"requestBody = 
{
  ""name"": ""QATest"",
  ""email"": ""QATest$uniqueIdSubstring@gmail.com"",
  ""address"": ""QATest"",
  ""phone"": ""1148784215"",
  ""company"": ""QATest"",
  ""external_reference"": ""QATest"",
  ""description"": ""QATest"",
  ""manager"": ""QATest"",
  ""wallet"": {
      ""address"": ""0x71C7656EC7ab88b098defB751B7401B5f6d8976F"",
      ""network"": ""Ethereum"",
      ""coin"": ""ETH""
  }
}
",,,,25-03-2024 12:32:47,25-03-2024 12:32:47,0.002s,PASSED
try,,,,25-03-2024 12:32:47,25-03-2024 12:32:48,0.898s,PASSED
catch (Exception e),,,,25-03-2024 12:32:48,25-03-2024 12:32:48,0.036s,PASSED
